OBJECTID,stormid,month,year,AcresOnLand,Shape__Area,Shape__Length,Total_Store_Count,HD_Store_Count,LOW_Store_Count
59,AL062022,09,2022,11961984.8723427,348.056023118605,130.50191706599,0,0,0
60,AL062023,08,2023,0,2.18938574338705,9.38677693622346,0,0,0
61,AL062023,09,2023,0,10.9248152518131,37.8377127465104,0,0,0
62,al072014,10,2014,15746.1824639535,88.5993702879255,54.7669219593581,0,0,0
63,al072015,09,2015,0,11.9324903121471,39.3014221194612,0,0,0
64,al072016,08,2016,0,116.565378465264,115.680478116142,0,0,0
65,al072016,09,2016,167665.780035961,79.5852763212391,55.391817238637,0,0,0
66,al072017,08,2017,35590560.2647558,59.39805247751,53.1853087134147,0,0,0
67,AL072018,09,2018,8980037.0997731,15.0326207419971,35.5490768845306,36,20,16
68,AL072019,09,2019,2710065.50630798,9.09071697266813,13.8988679224091,0,0,0
69,AL072020,07,2020,0,5.92871258817158,35.654967316896,0,0,0
70,AL072021,08,2021,32892875.3117937,74.5574586585291,86.726253370355,0,0,0
71,AL072022,09,2022,180472227.610843,588.729865058941,209.973743082405,26,19,7
72,AL072023,08,2023,0,31.897316075648,42.6710002074012,0,0,0
73,al082014,10,2014,2870165.33988541,231.808248658989,123.834620552958,0,0,0
74,al082015,09,2015,0,18.4051998379173,21.3516857437138,0,0,0
75,al082017,08,2017,0,104.876013892258,100.85500555406,0,0,0
76,AL082018,09,2018,56399.1043510544,284.405892754838,175.626092277571,0,0,0
77,AL082019,09,2019,0,152.72702997428,146.373904565521,0,0,0
78,AL082020,07,2020,17323005.8993629,19.5925467383211,27.1750513489349,19,10,9
79,AL082021,08,2021,2343269.42880962,64.3660684751978,67.0043957755043,25,18,7
80,AL082022,09,2022,355127.522281431,61.1220547646118,58.5843531681995,0,0,0
81,AL082023,08,2023,7280516.62464065,118.753803251855,96.0513171720564,0,0,0
82,AL082023,09,2023,0,355.892187285916,163.162906725114,0,0,0
83,al092014,10,2014,3236132.65924879,3.5182972843761,8.06870189285036,0,0,0
84,al092016,08,2016,0,6.6080675862554,11.3060970234428,0,0,0
85,al092016,09,2016,56903652.0440219,66.7088505175687,51.5140357494818,194,88,106
86,al092017,08,2017,35622512.062086,51.1918851166963,62.8655047720021,118,69,49
87,AL092018,09,2018,594272.895858133,50.6053182772698,86.97774537146,0,0,0
88,AL092019,09,2019,5515827.79626273,246.331189233272,91.94958635549,0,0,0
89,AL092020,07,2020,19489825.5000772,121.231871454499,70.9877875635642,9,9,0
90,AL092020,08,2020,67510886.0733252,80.2025526484913,93.3810623575037,505,331,174
91,AL092021,08,2021,29973726.6945949,50.6644067779911,51.2100897206585,56,30,26
92,AL092021,09,2021,60392649.3170416,93.5163741322935,69.1742511644863,112,74,38
93,AL092022,09,2022,74500424.7390826,140.559599856588,87.7869112324349,358,182,176
94,AL092022,10,2022,17483284.861073,14.2633812194863,15.1444525355613,63,20,43
95,AL092023,08,2023,6085502.15257988,9.83612595850786,20.8006857120949,6,3,3
96,al102015,09,2015,0,54.7434501770163,47.4580882648299,0,0,0
97,al102016,09,2016,0,141.397584032147,98.354302710642,0,0,0
98,AL102018,09,2018,0,28.8665972713188,52.2312670613561,0,0,0
99,AL102019,09,2019,0,63.438007772901,100.938124735015,0,0,0
100,AL102021,08,2021,0,2.14517609314805,8.16821233295519,0,0,0
101,AL102022,09,2022,0,1.07992152807472,6.65212758510795,0,0,0
102,AL102023,08,2023,62182773.0589213,101.45053522965,66.5463305338281,251,113,138
103,AL102023,09,2023,35469.5045441601,182.82071150607,81.204620688272,0,0,0
104,al112015,09,2015,0,13.5720279772083,16.4918653750293,0,0,0
105,al112015,10,2015,2248495.73466843,373.319650352147,143.02180496036,0,0,0
106,al112016,09,2016,9322696.13983388,13.6034582889542,30.1077154896845,48,25,23
107,al112017,08,2017,0,7.25005590524154,18.4344269173365,0,0,0
108,al112017,09,2017,185711133.296322,298.697534860149,162.856404765182,640,331,309
109,AL112019,09,2019,30646.7913437345,0.673736918101667,3.53215627171332,0,0,0
110,AL112020,08,2020,0,22.2915566478572,48.3313453860604,0,0,0
111,AL112021,08,2021,0,59.8588676879651,86.4778298254979,0,0,0
112,AL112023,08,2023,0,1.61366237572895,8.1849840832668,0,0,0
113,AL112023,09,2023,0,4.13884993698446,15.5159691190218,0,0,0
114,al122015,11,2015,24577.0830635612,67.5120253284907,85.3789649672657,0,0,0
115,al122016,09,2016,15746.1824639535,128.393204855466,131.229582356923,0,0,0
116,al122017,09,2017,1755058.88050821,218.344325922764,143.369842734899,24,15,9
117,AL122018,09,2018,677937.863048671,45.7149710029074,59.7165269012532,0,0,0
118,AL122019,09,2019,629720.792215206,25.7015752808015,70.0111238366775,1,1,0
119,AL122020,08,2020,0,27.0413447567885,44.0159567918226,0,0,0
120,AL122021,09,2021,16541132.4341165,423.11506415939,197.5522473653,0,0,0
121,AL122023,09,2023,0,12.6957046683237,24.9463951553024,0,0,0
122,al132016,09,2016,0,38.1676990792639,54.3673683362287,0,0,0
123,al132017,09,2017,3577485.80173528,7.99470450162187,13.2228812505591,0,0,0
124,AL132018,09,2018,0,234.18082997195,67.4048238338763,0,0,0
125,AL132018,10,2018,23086491.1741401,417.702145780233,158.670412688664,0,0,0
126,AL132019,09,2019,0,215.210747800215,98.8691310866214,0,0,0
